////////////////////////////////////
//////                         ////
/////  Meson RAA (Fig. 5, 6)  ////
////                         ////
////////////////////////////////


Table 3.1.1. pi0 meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      6.75  5.462532e-01         3.457124e-02   6.725336e-02   1.354617e-01  
      7.25  5.073505e-01         4.180134e-02   6.304371e-02   1.258145e-01  
      7.75  5.975832e-01         5.365701e-02   7.404146e-02   1.481907e-01  
      8.25  5.451599e-01         6.340952e-02   6.793503e-02   1.351905e-01  


Table 3.2.1. eta meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      2.25  3.191716e-01         2.817688e-02   7.960755e-02   6.987637e-02  
      2.75  3.353221e-01         2.455085e-02   6.358030e-02   7.341221e-02  
      3.25  3.128989e-01         1.670489e-02   4.522310e-02   6.850309e-02  
      3.75  2.550411e-01         1.517972e-02   3.719625e-02   5.583625e-02  
      4.25  2.510986e-01         2.145045e-02   3.708985e-02   5.497312e-02  
      4.75  2.491102e-01         2.097453e-02   3.641043e-02   5.453780e-02  
       5.5  2.492689e-01         1.691803e-02   3.398356e-02   5.457254e-02  
       6.5  2.369420e-01         1.985301e-02   3.222644e-02   5.187381e-02  
       7.5  2.477030e-01         2.571573e-02   3.309984e-02   5.422972e-02  
       8.5  1.970422e-01         3.371282e-02   2.859610e-02   4.313853e-02  
       9.5  3.375358e-01         4.404995e-02   4.533481e-02   7.389685e-02  
        11  2.864785e-01         3.699454e-02   3.779423e-02   6.271886e-02  
        13  4.366515e-01         7.947381e-02   5.955912e-02   9.559630e-02  
 0-20%
      2.25  4.141527e-01         4.474198e-02   1.035133e-01   6.280801e-02  
      2.75  3.208237e-01         3.161692e-02   6.090980e-02   4.865427e-02  
      3.25  2.683187e-01         2.598074e-02   3.877557e-02   4.069167e-02  
      3.75  2.134857e-01         2.899987e-02   3.148202e-02   3.237601e-02  
      4.25  1.817188e-01         3.083909e-02   2.701261e-02   2.755843e-02  
      4.75  2.231530e-01         3.180704e-02   3.239040e-02   3.384210e-02  
       5.5  2.043464e-01         2.575184e-02   2.795073e-02   3.099000e-02  
       6.5  1.941100e-01         3.123036e-02   2.640507e-02   2.943760e-02  
       7.5  1.982174e-01         3.552336e-02   2.634304e-02   3.006051e-02  
       8.5  1.806949e-01         4.658786e-02   2.507690e-02   2.740315e-02  
       9.5  2.728407e-01         6.089180e-02   3.716684e-02   4.137745e-02  
        11  2.789003e-01         4.919509e-02   3.621800e-02   4.229641e-02  
        13  4.391265e-01         9.967201e-02   6.029015e-02   6.659540e-02  
20-40%
      2.25  4.670012e-01         4.641848e-02   1.169314e-01   6.896856e-02  
      2.75  4.361693e-01         3.862792e-02   8.334217e-02   6.441519e-02  
      3.25  4.544164e-01         2.947620e-02   6.618013e-02   6.710999e-02  
      3.75  3.500058e-01         2.607267e-02   5.114569e-02   5.169022e-02  
      4.25  3.987713e-01         3.795408e-02   5.866088e-02   5.889210e-02  
      4.75  3.000424e-01         3.886949e-02   4.533567e-02   4.431143e-02  
       5.5  3.485520e-01         3.009129e-02   4.777112e-02   5.147552e-02  
       6.5  3.608884e-01         3.656733e-02   4.813062e-02   5.329741e-02  
       7.5  3.236744e-01         4.892284e-02   4.468059e-02   4.780150e-02  
       8.5  2.835353e-01         5.800368e-02   3.902121e-02   4.187360e-02  
       9.5  4.053724e-01         7.974446e-02   5.546241e-02   5.986698e-02  
        11  4.039912e-01         7.892473e-02   5.571223e-02   5.966300e-02  
40-60%
      2.25  5.675063e-01         4.935291e-02   1.423818e-01   9.914780e-02  
      2.75  4.680205e-01         3.935786e-02   8.940081e-02   8.176685e-02  
      3.25  4.970267e-01         3.218963e-02   7.232426e-02   8.683446e-02  
      3.75  4.502238e-01         2.980242e-02   6.529160e-02   7.865762e-02  
      4.25  4.949347e-01         4.717872e-02   7.417589e-02   8.646897e-02  
      4.75  4.435316e-01         4.773994e-02   6.548724e-02   7.748844e-02  
       5.5  4.797064e-01         4.189892e-02   6.576437e-02   8.380847e-02  
       6.5  5.625078e-01         5.345817e-02   7.630808e-02   9.827452e-02  
       7.5  5.732378e-01         7.943011e-02   7.586569e-02   1.001491e-01  
60-80%
      2.25  5.946091e-01         5.528306e-02   1.500568e-01   1.540514e-01  
      2.75  5.675542e-01         4.920134e-02   1.091597e-01   1.470420e-01  
      3.25  5.755710e-01         4.162867e-02   8.500176e-02   1.491190e-01  
      3.75  5.114638e-01         4.293327e-02   7.640186e-02   1.325101e-01  
      4.25  5.535611e-01         6.887119e-02   8.297330e-02   1.434167e-01  
      4.75  6.599166e-01         7.945417e-02   9.612077e-02   1.709713e-01  
       5.5  6.446529e-01         7.345699e-02   9.015446e-02   1.670168e-01  
       6.5  6.979540e-01         1.086907e-01   9.567064e-02   1.808260e-01  


Table 3.2.2. eta meson RAA (Glauber 2) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      2.25  2.934788e-01         2.590868e-02   7.319927e-02   4.737917e-02  
      2.75  3.083292e-01         2.257454e-02   5.846219e-02   4.977661e-02  
      3.25  2.877111e-01         1.536018e-02   4.158272e-02   4.644803e-02  
      3.75  2.345107e-01         1.395777e-02   3.420201e-02   3.785937e-02  
      4.25  2.308855e-01         1.972373e-02   3.410417e-02   3.727412e-02  
      4.75  2.290572e-01         1.928611e-02   3.347945e-02   3.697896e-02  
       5.5  2.292031e-01         1.555616e-02   3.124794e-02   3.700251e-02  
       6.5  2.178685e-01         1.825487e-02   2.963225e-02   3.517265e-02  
       7.5  2.277633e-01         2.364566e-02   3.043535e-02   3.677007e-02  
       8.5  1.811806e-01         3.099899e-02   2.629416e-02   2.924977e-02  
       9.5  3.103646e-01         4.050400e-02   4.168542e-02   5.010521e-02  
        11  2.634174e-01         3.401653e-02   3.475186e-02   4.252606e-02  
        13  4.015017e-01         7.307629e-02   5.476470e-02   6.481837e-02  
 0-20%
      2.25  3.873824e-01         4.184992e-02   9.682230e-02   6.140299e-02  
      2.75  3.000860e-01         2.957323e-02   5.697266e-02   4.756586e-02  
      3.25  2.509749e-01         2.430138e-02   3.626916e-02   3.978139e-02  
      3.75  1.996862e-01         2.712536e-02   2.944705e-02   3.165175e-02  
      4.25  1.699727e-01         2.884569e-02   2.526654e-02   2.694194e-02  
      4.75  2.087286e-01         2.975107e-02   3.029672e-02   3.308504e-02  
       5.5  1.911377e-01         2.408727e-02   2.614402e-02   3.029675e-02  
       6.5  1.815630e-01         2.921167e-02   2.469828e-02   2.877909e-02  
       7.5  1.854049e-01         3.322718e-02   2.464026e-02   2.938806e-02  
       8.5  1.690150e-01         4.357648e-02   2.345596e-02   2.679013e-02  
       9.5  2.552046e-01         5.695583e-02   3.476442e-02   4.045183e-02  
        11  2.608726e-01         4.601518e-02   3.387691e-02   4.135025e-02  
        13  4.107419e-01         9.322934e-02   5.639307e-02   6.510565e-02  
20-40%
      2.25  4.175664e-01         4.150482e-02   1.045535e-01   6.800542e-02  
      2.75  3.899982e-01         3.453892e-02   7.451991e-02   6.351562e-02  
      3.25  4.063137e-01         2.635598e-02   5.917457e-02   6.617279e-02  
      3.75  3.129556e-01         2.331272e-02   4.573162e-02   5.096836e-02  
      4.25  3.565590e-01         3.393641e-02   5.245128e-02   5.806967e-02  
      4.75  2.682812e-01         3.475493e-02   4.053663e-02   4.369263e-02  
       5.5  3.116557e-01         2.690595e-02   4.271426e-02   5.075666e-02  
       6.5  3.226863e-01         3.269646e-02   4.303572e-02   5.255312e-02  
       7.5  2.894116e-01         4.374407e-02   3.995090e-02   4.713396e-02  
       8.5  2.535214e-01         5.186365e-02   3.489058e-02   4.128883e-02  
       9.5  3.624614e-01         7.130305e-02   4.959139e-02   5.903094e-02  
        11  3.612264e-01         7.057008e-02   4.981476e-02   5.882981e-02  
40-60%
      2.25  4.943359e-01         4.298968e-02   1.240241e-01   8.539723e-02  
      2.75  4.076771e-01         3.428333e-02   7.787408e-02   7.042680e-02  
      3.25  4.329434e-01         2.803931e-02   6.299926e-02   7.479159e-02  
      3.75  3.921750e-01         2.595990e-02   5.687335e-02   6.774879e-02  
      4.25  4.311212e-01         4.109581e-02   6.461216e-02   7.447680e-02  
      4.75  3.863456e-01         4.158468e-02   5.704376e-02   6.674175e-02  
       5.5  4.178563e-01         3.649675e-02   5.728516e-02   7.218527e-02  
       6.5  4.899818e-01         4.656564e-02   6.646942e-02   8.464505e-02  
       7.5  4.993284e-01         6.918893e-02   6.608408e-02   8.625969e-02  
60-80%
      2.25  5.260003e-01         4.890425e-02   1.327425e-01   1.304393e-01  
      2.75  5.020672e-01         4.352427e-02   9.656437e-02   1.245043e-01  
      3.25  5.091590e-01         3.682536e-02   7.519387e-02   1.262629e-01  
      3.75  4.524488e-01         3.797943e-02   6.758627e-02   1.121997e-01  
      4.25  4.896886e-01         6.092450e-02   7.339945e-02   1.214346e-01  
      4.75  5.837724e-01         7.028638e-02   8.502991e-02   1.447658e-01  
       5.5  5.702699e-01         6.498118e-02   7.975203e-02   1.414174e-01  
       6.5  6.174208e-01         9.614942e-02   8.463171e-02   1.531100e-01  


Table 3.3.1. Ks meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
       6.5  2.847109e-01         8.513488e-02   7.080326e-02   7.289818e-02  
       7.5  2.681281e-01         7.737825e-02   7.385583e-02   6.865227e-02  
       8.5  1.856887e-01         6.743732e-02   5.049031e-02   4.754426e-02  
       9.5  3.319481e-01         1.212078e-01   9.470403e-02   8.499293e-02  
        11  3.443163e-01         1.273942e-01   1.054040e-01   8.815972e-02  
 0-20%
       6.5  2.154198e-01         1.428357e-01   5.839799e-02   4.262082e-02  
       7.5  2.888283e-01         1.610877e-01   8.544529e-02   5.714470e-02  
       8.5  3.034480e-01         1.797906e-01   8.877059e-02   6.003721e-02  
       9.5  2.473679e-01         1.769719e-01   7.545332e-02   4.894175e-02  
        11  2.259604e-01         1.353150e-01   7.332344e-02   4.470628e-02  
20-40%
       6.5  4.274219e-01         1.516539e-01   1.104677e-01   8.497756e-02  
       7.5  3.675507e-01         1.584561e-01   1.044940e-01   7.307431e-02  
       8.5  3.099684e-01         1.148934e-01   8.706031e-02   6.162613e-02  
       9.5  4.819605e-01         2.102231e-01   1.416239e-01   9.582061e-02  
40-80%
       6.5  4.598050e-01         1.644798e-01   1.233286e-01   9.959971e-02  
       7.5  7.694877e-01         2.342043e-01   2.148912e-01   1.666810e-01  
       8.5  3.399462e-01         2.429697e-01   9.160128e-02   7.363674e-02  
       9.5  5.813976e-01         2.465299e-01   1.642047e-01   1.259382e-01  


Table 3.3.2. Ks meson RAA (Glauber 2) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
       6.5  2.617921e-01         7.828165e-02   6.510371e-02   5.472033e-02  
       7.5  2.465442e-01         7.114941e-02   6.791055e-02   5.153318e-02  
       8.5  1.707410e-01         6.200871e-02   4.642592e-02   3.568864e-02  
       9.5  3.052268e-01         1.114508e-01   8.708050e-02   6.379914e-02  
        11  3.165993e-01         1.171391e-01   9.691917e-02   6.617624e-02  
 0-20%
       6.5  2.014953e-01         1.336030e-01   5.462321e-02   4.093393e-02  
       7.5  2.701588e-01         1.506752e-01   7.992222e-02   5.488298e-02  
       8.5  2.838335e-01         1.681691e-01   8.303256e-02   5.766100e-02  
       9.5  2.313783e-01         1.655326e-01   7.057610e-02   4.700469e-02  
        11  2.113546e-01         1.265684e-01   6.858391e-02   4.293686e-02  
20-40%
       6.5  3.821768e-01         1.356005e-01   9.877401e-02   8.038476e-02  
       7.5  3.286433e-01         1.416826e-01   9.343268e-02   6.912485e-02  
       8.5  2.771564e-01         1.027313e-01   7.784447e-02   5.829540e-02  
       9.5  4.309422e-01         1.879697e-01   1.266322e-01   9.064178e-02  
40-80%
       6.5  4.014693e-01         1.436122e-01   1.076819e-01   8.581885e-02  
       7.5  6.718624e-01         2.044907e-01   1.876278e-01   1.436186e-01  
       8.5  2.968170e-01         2.121440e-01   7.997977e-02   6.344818e-02  
